,k,knn,lof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.49719885,0.63664216,0.560049,0.74859947,0.49719885,0.74859947,0.560049,0.68574935
1,2,0.74859947,0.80698526,0.59147406,0.7171744,0.49719885,0.74859947,0.560049,0.68574935
2,3,0.7800245,0.8173143,0.560049,0.7800245,0.49719885,0.74859947,0.560049,0.68574935
3,4,0.74859947,0.85294116,0.6228992,0.74859947,0.49719885,0.74859947,0.68574935,0.68574935
4,5,0.74859947,0.8522409,0.68574935,0.65432423,0.49719885,0.7800245,0.71717435,0.68574935
5,6,0.74859947,0.85294116,0.68574935,0.7171744,0.49719885,0.7800245,0.74859947,0.68574935
6,7,0.74859947,0.85591733,0.65432423,0.65432423,0.49719885,0.7800245,0.7171744,0.68574935
7,8,0.74859947,0.8548669,0.6228992,0.6228992,0.49719885,0.7800245,0.74859947,0.68574935
8,9,0.74859947,0.85469186,0.68574935,0.6228991,0.49719885,0.7800245,0.74859947,0.68574935
9,10,0.74859947,0.8805146,0.59147406,0.6228992,0.49719885,0.7800245,0.74859947,0.68574935
10,11,0.74859947,0.9110643,0.65432423,0.6228992,0.49719885,0.7800245,0.74859947,0.68574935
11,12,0.74859947,0.88139015,0.6228992,0.6228991,0.49719885,0.7800245,0.74859947,0.68574935
12,13,0.74859947,0.8812151,0.59147406,0.6228991,0.49719885,0.7800245,0.74859947,0.68574935
13,14,0.74859947,0.91229,0.6228992,0.6228991,0.49719885,0.7800245,0.74859947,0.68574935
14,15,0.74859947,0.88384104,0.65432423,0.6228991,0.49719885,0.7800245,0.74859947,0.68574935
15,16,0.74859947,0.88384104,0.6857493,0.560049,0.49719885,0.7800245,0.74859947,0.68574935
16,17,0.74859947,0.8848914,0.6543243,0.6228991,0.49719885,0.7800245,0.74859947,0.68574935
17,18,0.74859947,0.88524157,0.65432423,0.6228991,0.49719885,0.7800245,0.74859947,0.68574935
18,19,0.74859947,0.8866421,0.68574935,0.59147406,0.49719885,0.7800245,0.74859947,0.68574935
19,20,0.74859947,0.8866421,0.5914741,0.59147406,0.49719885,0.7800245,0.74859947,0.68574935
20,21,0.74859947,0.8866421,0.65432423,0.59147406,0.49719885,0.7800245,0.74859947,0.68574935
21,22,0.74859947,0.88804257,0.59147406,0.59147406,0.49719885,0.7800245,0.74859947,0.68574935
22,23,0.74859947,0.88944334,0.6228991,0.65432423,0.49719885,0.8114496,0.74859947,0.68574935
23,24,0.74859947,0.88944334,0.5914741,0.59147406,0.49719885,0.8114496,0.74859947,0.68574935
24,25,0.74859947,0.88944334,0.65432423,0.6228991,0.49719885,0.7800245,0.74859947,0.68574935
25,26,0.74859947,0.8896184,0.7171744,0.65432423,0.49719885,0.7800245,0.74859947,0.68574935
26,27,0.74859947,0.8904937,0.6857493,0.6228992,0.49719885,0.7800245,0.74859947,0.68574935
27,28,0.74859947,0.8904937,0.7171744,0.65432423,0.49719885,0.7800245,0.74859947,0.68574935
28,29,0.74859947,0.8602941,0.65432423,0.6228992,0.49719885,0.7800245,0.74859947,0.68574935
29,30,0.74859947,0.8622198,0.7171744,0.6228991,0.49719885,0.7800245,0.74859947,0.68574935
30,31,0.74859947,0.86239487,0.68574935,0.65432423,0.49719885,0.7800245,0.74859947,0.68574935
31,32,0.74859947,0.8609944,0.65432423,0.6228992,0.49719885,0.7800245,0.74859947,0.68574935
