,k,knn,lof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.56859463,0.7488744,0.6494745,0.56859463,0.75732785,0.56859463,0.8741699,0.7034081
1,2,0.8921417,0.8927431,0.72138464,0.7303727,0.75732785,0.56859463,0.8741699,0.7034081
2,3,0.9191063,0.94507116,0.7213845,0.71239614,0.75732785,0.7753137,0.8741699,0.7034081
3,4,0.9011299,0.96538615,0.7483399,0.7303681,0.75732327,0.85619354,0.87416524,0.7034081
4,5,0.9011299,0.95716864,0.7573281,0.73036796,0.7483351,0.87416995,0.88315344,0.7034081
5,6,0.9011299,0.9668584,0.7483491,0.7753043,0.77529967,0.8741653,0.91011804,0.7034081
6,7,0.9011299,0.96715176,0.74834454,0.8022689,0.7573233,0.8831535,0.89214176,0.7034081
7,8,0.9011299,0.96738565,0.75732803,0.7932761,0.7483351,0.8831535,0.90112996,0.7034081
8,9,0.9011299,0.9671472,0.7932807,0.8112571,0.7663116,0.8831535,0.90112996,0.7034081
9,10,0.9011299,0.96780753,0.8112572,0.8202454,0.75731874,0.8831535,0.89214176,0.7034081
10,11,0.9011299,0.96780753,0.7932807,0.8202361,0.7573186,0.8741653,0.89214176,0.7034081
11,12,0.9011299,0.96786726,0.79327613,0.8202407,0.7573186,0.8741653,0.8831582,0.7034081
12,13,0.9011299,0.96774805,0.82024544,0.8472006,0.7483351,0.8741653,0.88315827,0.7034081
13,14,0.9011299,0.9675143,0.80225956,0.85619354,0.7483305,0.8831535,0.89214176,0.7034081
14,15,0.9011299,0.96786726,0.82024074,0.81126183,0.739347,0.8831535,0.87417,0.7034081
15,16,0.9011299,0.96799123,0.7932714,0.8382171,0.739347,0.8921417,0.90112996,0.7034081
16,17,0.9011299,0.96780777,0.8292289,0.8651817,0.739347,0.9011299,0.89214176,0.7034081
17,18,0.9011299,0.96774817,0.80226433,0.82923824,0.739347,0.9101181,0.87417,0.7034081
18,19,0.9011299,0.96798646,0.829229,0.8112619,0.7303588,0.9101181,0.88315356,0.7034081
19,20,0.9011299,0.96786726,0.8382125,0.8561935,0.739347,0.9011299,0.88315356,0.7034081
20,21,0.9011299,0.96757364,0.83821243,0.8382218,0.739347,0.9011299,0.8921417,0.7034081
21,22,0.9011299,0.96775264,0.8022642,0.8382217,0.739347,0.9011299,0.8921417,0.7034081
22,23,0.9011299,0.9586452,0.7842878,0.82024527,0.7303588,0.9101181,0.8921463,0.7034081
23,24,0.8831535,0.9674545,0.8202407,0.8561935,0.739347,0.9101181,0.88315815,0.7034081
24,25,0.8741653,0.96727556,0.8472006,0.85619354,0.7303588,0.9101181,0.88315815,0.7034081
25,26,0.8741653,0.96727586,0.8292242,0.8741653,0.739347,0.9101181,0.8921417,0.7034081
26,27,0.8741653,0.96722084,0.8022596,0.8741699,0.7303588,0.9101181,0.8831535,0.7034081
27,28,0.8741653,0.9673402,0.8292289,0.87416995,0.7303588,0.9101181,0.89214164,0.7034081
28,29,0.8741653,0.96711105,0.8112571,0.8472053,0.739347,0.9101181,0.8831535,0.7034081
29,30,0.8741653,0.9673541,0.8112525,0.8561935,0.7303588,0.9101181,0.87416995,0.7034081
30,31,0.8741653,0.9672945,0.82922894,0.8382171,0.74833053,0.9101181,0.89214164,0.7034081
31,32,0.8741653,0.9671753,0.82023597,0.84720534,0.7303588,0.9101181,0.89214164,0.7034081
32,33,0.8741653,0.96699643,0.84720063,0.87417454,0.7303588,0.9101181,0.89214164,0.7034081
33,34,0.8741653,0.9669367,0.8561889,0.83821714,0.739347,0.9101181,0.89214164,0.7034081
34,35,0.8741653,0.96663857,0.81124777,0.8651817,0.739347,0.9101181,0.87416536,0.7034081
35,36,0.8741653,0.9660468,0.8472007,0.85619813,0.7303588,0.9101181,0.87416536,0.7034081
36,37,0.8741653,0.96562934,0.81124777,0.82923365,0.73934233,0.9101181,0.87416536,0.7034081
37,38,0.8651771,0.96562934,0.82922894,0.87416524,0.7303588,0.9101181,0.8831535,0.7034081
38,39,0.8651771,0.9653314,0.8202407,0.8292242,0.73035413,0.9101181,0.8831535,0.7034081
39,40,0.8651771,0.9652718,0.8292288,0.8561935,0.74833053,0.9101181,0.8831535,0.7034081
40,41,0.8651771,0.9565221,0.82922894,0.83822185,0.7303588,0.9101181,0.8921417,0.7034081
41,42,0.8651771,0.9565817,0.8022596,0.8202454,0.7303588,0.9101181,0.87416536,0.7034081
42,43,0.8651771,0.9565817,0.82023597,0.8202453,0.74833053,0.9101181,0.8831535,0.7034081
43,44,0.8651771,0.9565817,0.82922417,0.8382218,0.7213706,0.9101181,0.8921417,0.7034081
44,45,0.8651771,0.9564626,0.8292242,0.8292289,0.74833053,0.9101181,0.88315356,0.7034081
45,46,0.8651771,0.9565817,0.8022643,0.838217,0.739347,0.9101181,0.8921417,0.7034081
46,47,0.8651771,0.9565817,0.8292243,0.8382265,0.739347,0.9101181,0.87416536,0.7034081
47,48,0.8651771,0.9564626,0.84720063,0.8202453,0.73934233,0.9101181,0.87416536,0.7034081
48,49,0.8651771,0.9564626,0.8202406,0.8292335,0.73934233,0.9101181,0.88315356,0.7034081
49,50,0.8651771,0.9565222,0.8202407,0.8202454,0.7303588,0.9101181,0.88315356,0.7034081
50,51,0.8651771,0.9564626,0.83821714,0.82922894,0.7303587,0.9101181,0.88315356,0.7034081
51,52,0.8651771,0.9564031,0.8292289,0.82922894,0.7303588,0.9101181,0.87417,0.7034081
52,53,0.8651771,0.9565222,0.8292289,0.82024544,0.7303588,0.9101181,0.88315356,0.7034081
53,54,0.8651771,0.9564031,0.82024074,0.79328537,0.73035413,0.9101181,0.88315356,0.7034081
54,55,0.8651771,0.9566417,0.8112525,0.8112572,0.7303588,0.9101181,0.88315356,0.7034081
55,56,0.8651771,0.95652235,0.8472007,0.7842972,0.739347,0.9101181,0.88315356,0.7034081
56,57,0.8651771,0.9566417,0.8112525,0.8292288,0.7213706,0.9101181,0.88315356,0.7034081
57,58,0.8651771,0.95652246,0.8382171,0.8112572,0.73035413,0.9101181,0.88315356,0.7034081
58,59,0.8651771,0.95658195,0.82922894,0.8112525,0.7303588,0.9101181,0.88315356,0.7034081
59,60,0.8651771,0.95646274,0.8472053,0.79327613,0.73934233,0.9101181,0.88315356,0.7034081
60,61,0.8651771,0.9565821,0.82922417,0.8382125,0.7303588,0.9101181,0.88315356,0.7034081
61,62,0.8651771,0.95664614,0.8202406,0.80227834,0.73035413,0.9101181,0.8921417,0.7034081
62,63,0.8651771,0.95664614,0.84720063,0.8292288,0.7303588,0.9101181,0.88315356,0.7034081
63,64,0.8651771,0.95664614,0.82922417,0.83821243,0.73934233,0.9101181,0.88315356,0.7034081
64,65,0.8651771,0.95652694,0.78428787,0.81126654,0.73934233,0.9101181,0.88315356,0.7034081
65,66,0.8651771,0.9567654,0.84720063,0.85619813,0.74833053,0.9101181,0.88315356,0.7034081
66,67,0.8651771,0.9567654,0.8292289,0.8112572,0.73934233,0.9101181,0.88315356,0.7034081
67,68,0.8651771,0.95670575,0.8292289,0.8022737,0.739347,0.9101181,0.88315356,0.7034081
68,69,0.8651771,0.9567608,0.8472053,0.8202407,0.7303588,0.9101181,0.88315356,0.7034081
69,70,0.8651771,0.9567608,0.84720063,0.85619354,0.739347,0.9101181,0.88315356,0.7034081
70,71,0.8651771,0.9567608,0.82922894,0.8292335,0.7303588,0.9101181,0.87416536,0.7034081
71,72,0.8651771,0.9567608,0.83821243,0.84720993,0.74833053,0.9101181,0.88315356,0.7034081
72,73,0.85619354,0.9568204,0.8382125,0.8202406,0.7303588,0.9101181,0.88315356,0.7034081
