,k,knn,lof,cof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.5436975,0.5686275,0.5538376,0.6450981,0.5943977,0.56397754,0.5943977,0.6755183,0.59859943
1,2,0.8783194,0.5944258,0.5538376,0.6146779,0.7262185,0.56397754,0.5943977,0.6755183,0.59859943
2,3,0.90873957,0.66436976,0.5639776,0.75663865,0.8783194,0.56397754,0.8783194,0.6755183,0.59859943
3,4,0.92901963,0.72815126,0.6045378,0.5943977,0.9188796,0.57411766,0.90873957,0.75663865,0.59859943
4,5,0.92901963,0.82745093,0.6045378,0.7363585,0.89859945,0.5639776,0.90873957,0.7059384,0.59859943
5,6,0.89859945,0.8881513,0.62481797,0.7464986,0.8681793,0.5538375,0.90873957,0.79719883,0.59859943
6,7,0.89859945,0.90095246,0.6653781,0.6653782,0.8783194,0.57411766,0.90873957,0.817479,0.59859943
7,8,0.89859945,0.91997194,0.72621846,0.68565834,0.89859945,0.57411766,0.90873957,0.84789914,0.59859943
8,9,0.89859945,0.9296919,0.74649864,0.6856583,0.8884594,0.5538375,0.90873957,0.8783194,0.59859943
9,10,0.89859945,0.9243697,0.8073389,0.7160784,0.8884594,0.57411766,0.90873957,0.8276191,0.59859943
10,11,0.8884594,0.9339496,0.8276191,0.70593846,0.8783194,0.57411766,0.90873957,0.8783194,0.59859943
11,12,0.8884594,0.92507,0.84789926,0.74649864,0.8681793,0.5538375,0.90873957,0.8276191,0.59859943
12,13,0.8884594,0.9252101,0.8783194,0.7363586,0.85803926,0.5538375,0.90873957,0.8276191,0.59859943
13,14,0.8884594,0.93507004,0.8681793,0.7262185,0.85803926,0.57411766,0.90873957,0.817479,0.59859943
14,15,0.8884594,0.92773116,0.8783194,0.7262186,0.8681793,0.5436975,0.90873957,0.807339,0.59859943
15,16,0.8884594,0.92773116,0.8783194,0.75663865,0.8580392,0.5639776,0.90873957,0.8276191,0.59859943
16,17,0.8884594,0.9289916,0.8884594,0.7363586,0.8681793,0.5538375,0.90873957,0.8276191,0.59859943
17,18,0.8884594,0.9289916,0.89859945,0.7363585,0.8681793,0.5639776,0.90873957,0.84789914,0.59859943
18,19,0.8884594,0.93039215,0.89859945,0.7667787,0.84789914,0.5639776,0.90873957,0.84789914,0.59859943
19,20,0.8884594,0.93039215,0.89859945,0.74649864,0.8681793,0.56397754,0.90873957,0.8580392,0.59859943
20,21,0.8884594,0.93039215,0.89859945,0.71607846,0.8681793,0.57411766,0.90873957,0.8681793,0.59859943
21,22,0.8884594,0.93179274,0.89859945,0.7464987,0.83775914,0.57411766,0.90873957,0.8681793,0.59859943
22,23,0.8884594,0.9331933,0.89859945,0.7464987,0.84789914,0.56397754,0.90873957,0.8783194,0.59859943
23,24,0.8884594,0.9333334,0.89859945,0.74649864,0.81747895,0.5639776,0.90873957,0.8783194,0.59859943
24,25,0.8884594,0.9333334,0.8884594,0.72621846,0.83775914,0.5436975,0.90873957,0.8884594,0.59859943
