,k,knn,lof,cof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.5982131,0.75620264,0.76897824,0.5982057,0.5982131,0.6685131,0.5982131,0.82923806,0.6886085
1,2,0.88950557,0.8351327,0.76897824,0.6484365,0.77900755,0.6685131,0.5982131,0.82923806,0.6886085
2,3,0.86941767,0.8826251,0.7488867,0.56807387,0.7287807,0.6685131,0.7287915,0.82923806,0.6886085
3,4,0.8593701,0.90660524,0.7589307,0.67856455,0.7287843,0.6886009,0.8091505,0.82924205,0.6886085
4,5,0.8593701,0.9272648,0.7991063,0.7187549,0.7589161,0.678557,0.869414,0.83928585,0.6886085
5,6,0.8593701,0.938327,0.80915034,0.64842546,0.7790003,0.6584691,0.84932613,0.83928216,0.6886085
6,7,0.8593701,0.9482684,0.80915034,0.71873665,0.7488649,0.6484252,0.85937005,0.84932977,0.6886085
7,8,0.84932613,0.9490153,0.8392822,0.678561,0.7689563,0.63838124,0.84932613,0.86942136,0.6886085
8,9,0.8593701,0.94952077,0.8392822,0.7287768,0.7287805,0.64842516,0.86941403,0.84932977,0.6886085
9,10,0.84932613,0.9488142,0.82923824,0.708689,0.7689673,0.6785569,0.8493225,0.86941767,0.6886085
10,11,0.84932613,0.94908154,0.8392822,0.7388245,0.779004,0.668513,0.84932613,0.85937375,0.6886085
11,12,0.84932613,0.9495429,0.8392822,0.7287768,0.75891244,0.66851294,0.8493225,0.85937375,0.6886085
12,13,0.8593701,0.94936717,0.82923824,0.7388244,0.75891614,0.668513,0.85936654,0.84932977,0.6886085
13,14,0.8593701,0.95962703,0.8392822,0.7287842,0.75891244,0.668513,0.85936654,0.82924193,0.6886085
14,15,0.8593701,0.9492792,0.83928216,0.7086964,0.79909545,0.64842516,0.85936654,0.83928585,0.6886085
15,16,0.8593701,0.9393671,0.82923824,0.74887574,0.78905535,0.6584691,0.8694104,0.82924193,0.6886085
16,17,0.8593701,0.93909615,0.8191942,0.7287879,0.77901125,0.6584691,0.86941415,0.8493298,0.6886085
17,18,0.8593701,0.93908864,0.8191942,0.6986524,0.7488722,0.6584691,0.86941415,0.84932977,0.6886085
18,19,0.8593701,0.9390006,0.79910636,0.7287842,0.7990992,0.6584691,0.86941415,0.86941767,0.6886085
19,20,0.8593701,0.948748,0.80915034,0.7589161,0.75891244,0.63838124,0.86941415,0.86942136,0.6886085
20,21,0.8593701,0.9488799,0.80915034,0.7589123,0.7689638,0.63838124,0.8593701,0.84933347,0.6886085
21,22,0.8593701,0.9489641,0.80915034,0.73882824,0.7890552,0.64842516,0.86941415,0.82924193,0.6886085
22,23,0.8593701,0.94886893,0.80915034,0.7287806,0.7388319,0.64842516,0.8593701,0.83928585,0.6886085
