,k,knn,lof,cof,i_forest,loda,hbos,abod,sod,iso_index
0,1,0.5254902,0.5684874,0.54243696,0.59327734,0.5763306,0.55091035,0.5763306,0.67801124,0.78109246
1,2,0.88984597,0.6306723,0.54243696,0.7034314,0.7034313,0.55091035,0.5763306,0.67801124,0.78109246
2,3,0.8813726,0.6910364,0.55938375,0.61869746,0.8390056,0.55091035,0.8644258,0.67801124,0.78109246
3,4,0.8813726,0.76995796,0.55938375,0.63564426,0.8559524,0.55091035,0.88984597,0.694958,0.78109246
4,5,0.8728992,0.84411764,0.6102241,0.6695378,0.847479,0.5170168,0.89831936,0.7203781,0.78109246
5,6,0.8813726,0.8867647,0.6525911,0.6610644,0.8559524,0.55091035,0.8813726,0.7712185,0.78109246
6,7,0.8813726,0.90637255,0.7119047,0.66953784,0.8220588,0.54243696,0.8813726,0.7796918,0.78109246
7,8,0.8813726,0.9055322,0.7119047,0.68648463,0.847479,0.55091035,0.88984597,0.7881652,0.78109246
8,9,0.8728992,0.9048319,0.74579823,0.72885156,0.847479,0.55091035,0.88984597,0.7881652,0.78109246
9,10,0.8559524,0.9165966,0.7712184,0.7542716,0.847479,0.55938375,0.88984597,0.7881652,0.78109246
10,11,0.847479,0.93270314,0.7712184,0.7203781,0.8390056,0.54243696,0.88984597,0.7796918,0.78109246
11,12,0.847479,0.9256303,0.8220588,0.7373249,0.847479,0.55091035,0.88984597,0.7712184,0.78109246
12,13,0.8390056,0.92591035,0.8220588,0.74579835,0.847479,0.54243696,0.89831936,0.7712184,0.78109246
13,14,0.8390056,0.9250701,0.8559524,0.70343137,0.847479,0.54243696,0.89831936,0.7712184,0.78109246
14,15,0.8390056,0.92801124,0.8559524,0.73732495,0.8305322,0.55091035,0.89831936,0.7712184,0.78109246
15,16,0.8390056,0.9278711,0.8559524,0.6864846,0.8390056,0.54243696,0.88984597,0.7796918,0.78109246
16,17,0.8390056,0.9291316,0.8644258,0.7119047,0.847479,0.54243696,0.88984597,0.7712184,0.78109246
17,18,0.8390056,0.9291316,0.8728992,0.6949579,0.8220588,0.55091035,0.88984597,0.7881652,0.78109246
18,19,0.8390056,0.9303921,0.8728992,0.7119047,0.8390056,0.54243696,0.88984597,0.7881652,0.78109246
19,20,0.8390056,0.9303921,0.8644258,0.73732495,0.8305322,0.55091035,0.88984597,0.7966386,0.78109246
20,21,0.8390056,0.9303921,0.8644258,0.762745,0.847479,0.55091035,0.88984597,0.8135854,0.78109246
21,22,0.8390056,0.9317926,0.8728992,0.7203781,0.8390056,0.55091035,0.88984597,0.805112,0.78109246
22,23,0.8390056,0.9081933,0.8728992,0.71190476,0.8390056,0.54243696,0.88984597,0.8135854,0.78109246
