,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
5,20.0,100.0,25.0,5.0,100.0,70.0,100.0,100.0,50.0
11,75.0,100.0,100.0,65.0,90.0,60.0,100.0,100.0,100.0
17,100.0,100.0,100.0,5.0,100.0,85.0,100.0,100.0,100.0
23,100.0,100.0,100.0,65.0,90.0,75.0,100.0,100.0,100.0
29,100.0,100.0,100.0,65.0,90.0,80.0,100.0,100.0,100.0
35,100.0,100.0,100.0,45.0,85.0,75.0,100.0,100.0,100.0
41,100.0,100.0,100.0,65.0,90.0,80.0,100.0,100.0,100.0
47,100.0,100.0,100.0,65.0,85.0,70.0,100.0,100.0,100.0
53,100.0,100.0,100.0,80.0,95.0,85.0,100.0,100.0,100.0
59,100.0,100.0,100.0,45.0,95.0,80.0,100.0,100.0,100.0
65,100.0,100.0,100.0,100.0,85.0,70.0,100.0,100.0,100.0
71,100.0,100.0,100.0,85.0,80.0,85.0,100.0,100.0,100.0
77,100.0,100.0,100.0,90.0,80.0,75.0,100.0,100.0,100.0
83,100.0,100.0,100.0,100.0,80.0,70.0,100.0,100.0,100.0
89,100.0,100.0,100.0,100.0,80.0,75.0,100.0,100.0,100.0
95,100.0,100.0,100.0,60.0,85.0,75.0,100.0,100.0,100.0
