,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,30.0,54.0,42.0,36.0,20.0,28.000000000000004,20.0,30.0,40.0
4,36.0,52.0,38.0,36.0,30.0,36.0,30.0,30.0,36.0
5,40.0,52.0,50.0,36.0,12.0,20.0,34.0,30.0,56.00000000000001
6,44.0,52.0,54.0,36.0,6.0,30.0,44.0,30.0,54.0
7,46.0,48.0,52.0,38.0,10.0,28.000000000000004,52.0,30.0,52.0
8,44.0,48.0,52.0,40.0,6.0,28.000000000000004,48.0,30.0,57.99999999999999
9,44.0,48.0,54.0,40.0,8.0,24.0,54.0,30.0,64.0
10,48.0,48.0,56.00000000000001,40.0,10.0,32.0,50.0,30.0,60.0
11,42.0,48.0,54.0,40.0,6.0,34.0,52.0,30.0,64.0
12,44.0,48.0,54.0,40.0,12.0,30.0,50.0,30.0,64.0
13,42.0,48.0,48.0,40.0,6.0,34.0,48.0,30.0,52.0
14,44.0,46.0,46.0,38.0,8.0,32.0,52.0,30.0,66.0
15,46.0,46.0,44.0,38.0,14.000000000000002,30.0,52.0,30.0,66.0
16,46.0,46.0,42.0,38.0,10.0,38.0,48.0,30.0,62.0
17,44.0,44.0,40.0,40.0,10.0,30.0,44.0,30.0,64.0
18,42.0,44.0,40.0,40.0,12.0,32.0,40.0,30.0,62.0
19,42.0,44.0,36.0,40.0,10.0,34.0,42.0,30.0,54.0
20,38.0,44.0,34.0,40.0,6.0,38.0,42.0,30.0,57.99999999999999
21,46.0,44.0,30.0,40.0,12.0,32.0,40.0,30.0,54.0
22,42.0,42.0,30.0,40.0,8.0,34.0,42.0,30.0,52.0
23,38.0,42.0,28.000000000000004,40.0,0.0,42.0,38.0,30.0,52.0
24,36.0,42.0,30.0,40.0,6.0,34.0,38.0,30.0,52.0
