,COF,k-NN,LOF,HBOS,LODA,iForest,ABOD,Isolation Index,SOD
3,70.0,84.0,62.0,42.0,56.00000000000001,52.0,68.0,60.0,66.0
4,68.0,82.0,60.0,50.0,12.0,54.0,82.0,60.0,72.0
5,64.0,78.0,57.99999999999999,44.0,18.0,46.0,78.0,60.0,74.0
6,66.0,78.0,56.00000000000001,40.0,8.0,60.0,74.0,60.0,76.0
7,66.0,78.0,56.00000000000001,44.0,10.0,57.99999999999999,74.0,60.0,68.0
8,68.0,78.0,57.99999999999999,46.0,12.0,64.0,76.0,60.0,72.0
9,74.0,74.0,56.00000000000001,40.0,8.0,60.0,78.0,60.0,74.0
10,74.0,74.0,56.00000000000001,42.0,14.000000000000002,60.0,82.0,60.0,74.0
11,70.0,74.0,60.0,42.0,14.000000000000002,62.0,82.0,60.0,76.0
12,68.0,74.0,57.99999999999999,50.0,12.0,72.0,86.0,60.0,78.0
13,66.0,70.0,56.00000000000001,44.0,18.0,57.99999999999999,84.0,60.0,68.0
14,66.0,68.0,56.00000000000001,42.0,8.0,60.0,84.0,60.0,68.0
15,66.0,68.0,54.0,38.0,6.0,64.0,82.0,60.0,64.0
16,68.0,68.0,52.0,54.0,4.0,64.0,82.0,60.0,68.0
17,64.0,68.0,54.0,42.0,16.0,64.0,80.0,60.0,64.0
18,66.0,68.0,57.99999999999999,38.0,4.0,68.0,84.0,60.0,60.0
19,66.0,64.0,60.0,46.0,6.0,68.0,84.0,60.0,60.0
20,64.0,64.0,52.0,48.0,4.0,72.0,84.0,60.0,62.0
21,64.0,64.0,54.0,46.0,4.0,66.0,84.0,60.0,60.0
22,64.0,62.0,54.0,46.0,4.0,68.0,84.0,60.0,56.00000000000001
23,66.0,60.0,54.0,44.0,2.0,68.0,84.0,60.0,56.00000000000001
24,66.0,60.0,54.0,46.0,4.0,68.0,82.0,60.0,54.0
