,N,d,KNN,LOF,Isolation Forest,Isolation Index
0,10,20,0.00029902457,0.01527307,0.06355248,0.00020844936
0,1010,20,0.0,0.00280869,0.07863276,0.0072337864
0,2010,20,0.00059931277,0.005022335,0.07609527,0.024789596
0,3010,20,0.0005075693,0.011825156,0.08223951,0.052676342
0,4010,20,0.00051851274,0.017046714,0.08151724,0.08611939
0,5010,20,0.000626564,0.022496272,0.08858509,0.12523949
0,6010,20,0.00060787203,0.035395693,0.099005625,0.198294
0,7010,20,0.00072536466,0.053102423,0.10610537,0.24614878
0,8010,20,0.0007106781,0.0641073,0.10472741,0.3323427
0,9010,20,0.0006982088,0.081464864,0.110418394,0.368807
0,10010,20,0.00081238744,0.09830682,0.12093029,0.46081033
0,11010,20,0.0008051634,0.12358296,0.11928759,0.5590393
0,12010,20,0.0007971764,0.14759474,0.115976885,0.6292373
0,13010,20,0.00081260205,0.16345477,0.119662665,0.71356726
0,14010,20,0.0007987261,0.19626136,0.13149019,0.8213352
0,15010,20,0.00080606935,0.22874522,0.13403182,0.8354952
0,16010,20,0.0011588812,0.27451357,0.14651072,1.0846267
0,17010,20,0.0013721943,0.33108392,0.14450455,1.2050369
0,18010,20,0.0011063814,0.34027144,0.13540089,1.2154018
0,19010,20,0.0010772229,0.36832753,0.14028268,1.3658911
0,20010,20,0.0010996104,0.4147826,0.14326604,1.4648128
0,21010,20,0.0014209509,0.46954232,0.14180544,1.5948849
0,22010,20,0.0010039806,0.5204994,0.14569247,1.7029152
0,23010,20,0.0013050318,0.58918417,0.15223582,2.073389
0,24010,20,0.0033241988,0.67371607,0.19237208,2.746717
0,25010,20,0.002094245,0.7034518,0.15592036,2.3404112
0,26010,20,0.001211071,0.7825902,0.17200151,2.5058584
0,27010,20,0.0013994217,0.8247405,0.17460504,2.9919708
0,28010,20,0.002414894,0.9910511,0.18301849,3.5790248
0,29010,20,0.0020851851,0.9744541,0.19126609,3.3486657
