,N,d,KNN,LOF,Isolation Forest,LODA,HBOS,ABOD,SOD,COF,Isolation Index
0,50,20,0.0,0.0027891796,0.017371416,0.008570433,0.69409823,0.26668224,1.2592748,0.007686456,0.0003335476
0,150,20,0.00033219656,0.0026780765,0.02641519,0.011114518,0.0031309922,0.19399524,0.021473408,0.027198633,0.0014022986
0,250,20,0.0,0.0033284028,0.021825949,0.011319797,0.003083229,0.30986944,0.040884335,0.045834143,0.0015090307
0,350,20,0.0006643931,0.0042779446,0.021403551,0.010627985,0.0033398469,0.47895694,0.06076908,0.068146944,0.0026655197
0,450,20,0.00033227602,0.0046399436,0.024616161,0.011228244,0.0037008126,0.60700446,0.08064628,0.08491071,0.0030481021
0,550,20,0.00033402443,0.0077167354,0.031072378,0.020216942,0.0027852058,0.7001112,0.126139,0.10326735,0.0041085086
0,650,20,0.0006920497,0.0075087547,0.03116711,0.019943556,0.004122257,0.80590695,0.14855528,0.12529962,0.0046672025
0,750,20,0.0,0.008414984,0.027634302,0.021108389,0.0036792755,0.9356985,0.18935728,0.15489118,0.0063947835
0,850,20,0.0003391107,0.0060295262,0.026651302,0.023612896,0.0037172635,1.0893992,0.22740602,0.17315929,0.008781831
0,950,20,0.0,0.006149769,0.02904304,0.02297314,0.0044098697,1.3484882,0.2977685,0.25783786,0.009573936
0,1050,20,0.00066224736,0.008340041,0.02773269,0.026138783,0.004695654,1.478819,0.3423625,0.3027781,0.013314645
0,1150,20,0.00033291182,0.009435098,0.03004686,0.025854826,0.0047955513,1.6017815,0.42920128,0.3511664,0.012967666
0,1250,20,0.0,0.009047111,0.0315334,0.025743643,0.004775683,1.82386,0.48070565,0.41342345,0.014475902
0,1350,20,0.0,0.013878663,0.030954203,0.02813538,0.004828771,1.8599082,0.5440447,0.4443946,0.018050512
0,1450,20,0.0006651084,0.010671933,0.030693611,0.027670065,0.0050216517,2.010495,0.6119032,0.5023644,0.022707066
0,1550,20,0.0,0.0123404665,0.029219547,0.026095629,0.004491806,2.1015046,0.72330374,0.5561394,0.022211552
0,1650,20,0.0006659031,0.014122088,0.027954102,0.030046066,0.0054310164,2.2226946,0.795068,0.6083601,0.026953856
0,1750,20,0.0,0.014143626,0.027877728,0.025379658,0.0047643185,2.3930037,0.8937266,0.65443665,0.029197374
0,1850,20,0.00034133592,0.012703657,0.036117792,0.030213991,0.0058240094,2.3779945,0.828989,0.64754313,0.04069233
0,1950,20,0.0,0.011388381,0.024904648,0.023484707,0.004651308,2.399116,0.9036216,0.6788773,0.029881954
0,2050,20,0.0,0.016335884,0.029690027,0.029034296,0.004382372,2.5696402,0.9717718,0.7817716,0.04408328
0,2150,20,0.0,0.01549983,0.02967318,0.027301392,0.004781246,2.6858013,1.0453707,0.8221454,0.045434237
0,2250,20,0.00039688745,0.015124719,0.026649078,0.026792446,0.004282554,2.8176968,1.1657358,0.8621786,0.046798468
0,2350,20,0.00033402443,0.017769655,0.028865337,0.025252977,0.0054220357,2.9135923,1.2811515,0.9456797,0.043663662
0,2450,20,0.0,0.018699884,0.02544427,0.02738595,0.0044531026,3.1143043,1.3018599,1.0233747,0.046865623
0,2550,20,0.0,0.016424417,0.025354942,0.031459253,0.0049787364,3.2285898,1.5268477,1.111318,0.059129
0,2650,20,0.0,0.016714731,0.026418686,0.028051615,0.0047208467,3.3684375,1.7003931,1.2412125,0.06267842
0,2750,20,0.0003569126,0.019732157,0.034921408,0.032087643,0.0046724477,3.3852284,1.7558279,1.2544873,0.05364124
0,2850,20,0.0003332297,0.020479599,0.03173359,0.032016117,0.004956484,3.507735,1.8916792,1.3972441,0.0656267
0,2950,20,0.00032846132,0.018856764,0.026866594,0.03342247,0.0054323673,3.752058,2.4001954,1.4468546,0.06959788
0,3050,20,0.00066224736,0.020213604,0.030137619,0.029801527,0.0052010217,3.7944453,2.1031697,1.5075597,0.06034605
0,3150,20,0.00033251444,0.027107,0.030225834,0.03537186,0.0051011243,3.8967407,2.396548,1.6386218,0.072742544
0,3250,20,0.00033179918,0.027582645,0.03115352,0.033806562,0.0050193467,3.981108,2.5387452,1.7208248,0.085651316
0,3350,20,0.0,0.024331808,0.033816814,0.03315719,0.005424738,4.1252656,2.5808017,1.8816758,0.0778474
0,3450,20,0.0,0.030660471,0.031559307,0.031918127,0.0054194927,4.3121142,2.7420871,1.9566282,0.08563367
0,3550,20,0.00033291182,0.031336468,0.030893803,0.03472805,0.004982392,4.436027,2.8315334,2.043782,0.098652996
0,3650,20,0.00033100447,0.032182295,0.031532288,0.031047503,0.0057176747,4.503551,3.0656784,2.1728656,0.104077734
0,3750,20,0.0,0.033474285,0.029671988,0.03692047,0.0053162575,4.600043,3.2385397,2.319567,0.09627112
0,3850,20,0.0003308455,0.029540459,0.030693531,0.037029665,0.005850474,4.756044,3.304816,2.4276085,0.09945011
0,3950,20,0.0,0.036144655,0.030189514,0.038253624,0.0054499307,4.8755784,3.433462,2.6101172,0.12225906
