,N,d,KNN,LOF,Isolation Forest,LODA,HBOS,ABOD,SOD,COF,Isolation Index,Avg
0,50,20,0,0.00371186,0.03507964,0.029462734,1.1893797,0.45493022,1.7578338,0.009058873,0.017160257,0.388513009
0,100,20,0.000333309,0.003387531,0.027077993,0.012057543,0.003059069,0.19472663,0.018719196,0.0187277,0.00066781,0.030972976
0,200,20,0,0.003614028,0.03365167,0.015024026,0.003914595,0.34464383,0.042110443,0.04735033,0.001333475,0.054626933
0,350,20,0.000362317,0.005775849,0.034983795,0.016093096,0.005243381,0.5951895,0.11355082,0.08744804,0.002853632,0.09572227
0,500,20,0.000670989,0.007857244,0.044343393,0.030428251,0.005847454,0.89073807,0.17078908,0.11463603,0.00369223,0.141000304
0,700,20,0.000336329,0.010230382,0.03192957,0.027718702,0.005068859,1.1150604,0.32487035,0.17821877,0.006163279,0.188844071
0,1000,20,0,0.008754333,0.03683917,0.028190216,0.005554676,1.8732882,0.5403741,0.39015707,0.01071779,0.321541728
0,1500,20,0.000334422,0.014088392,0.038196404,0.030041853,0.0055058,3.0878303,0.8559355,0.78687567,0.025255442,0.538229309
0,2000,20,0.00033323,0.02143518,0.03990976,0.03681906,0.006674608,4.0890555,1.4142805,1.244188,0.04155032,0.766027351
0,2500,20,0.000992855,0.024219275,0.033836525,0.03275132,0.007994652,4.8648453,2.1019194,1.6163822,0.07066878,0.972623367
0,3000,20,0.000666062,0.030666113,0.03851382,0.037764948,0.009489615,5.701626,3.1975944,2.229866,0.06237626,1.256507024
0,4000,20,0.000306845,0.04920435,0.039527494,0.042988855,0.01038893,8.112895,5.983046,4.310022,0.14967696,2.077561826
0,5000,20,0.000678619,0.054250877,0.05304424,0.054086447,0.012835582,10.818139,11.0726385,6.8270507,0.25320402,3.238436443
0,6000,20,0.000677109,0.08235439,0.06961473,0.06972853,0.014544487,12.469121,13.1516075,9.220916,0.31258544,3.93234991
0,7000,20,0.000668844,0.096659504,0.059758425,0.061659414,0.01305453,14.489339,18.090803,20.518875,0.42621335,5.973003452
0,8000,20,0.000666062,0.12382182,0.068966545,0.07719827,0.013665755,16.655077,24.252928,27.070112,0.45292464,7.63504001
